t,pwf
0,2750
0.001,2748.95
0.0021,2745.62
0.0034,2744.63
0.0048,2745.49
0.0064,2741.7
0.0082,2742
0.0102,2736.69
0.0125,2737.26
0.0151,2733.72
0.018,2729.13
0.0212,2724.23
0.0249,2720.57
0.029,2715.83
0.0336,2710.7
0.0388,2706.63
0.0447,2698.17
0.0512,2692.75
0.0587,2684.56
0.067,2676.82
0.0764,2665.33
0.0869,2655.67
0.0988,2642.29
0.1121,2627.5
0.1271,2614.76
0.144,2598.79
0.163,2582.16
0.1844,2564.54
0.208,2545.27
0.236,2523.21
0.266,2501.07
0.3,2475.93
0.339,2451.83
0.382,2422.8
0.431,2397.61
0.486,2367.5
0.547,2338.18
0.617,2309.21
0.695,2277.84
0.783,2251.46
0.882,2222.09
0.993,2196.92
1.118,2170.7
1.259,2148.33
1.417,2126.44
1.595,2108.5
1.795,2090.87
2.021,2080.73
2.275,2066.59
2.56,2054.29
2.881,2048.25
3.242,2039.49
3.648,2035.32
4.105,2029.91
4.619,2025.01
5.198,2018.87
5.848,2016.4
6.58,2011.11
7.404,2007.46
8.331,2003.24
9.373,2000.53
10.545,1995.75
11.865,1991.15
13.349,1988.67
15.018,1984.74
16.897,1979.34
19.01,1981.14
21.387,1973.78
24.061,1970.58
27.07,1967.59
30.455,1965.5
34.262,1961.64
38.546,1957.61
43.366,1955.9
48.787,1951.21
54.787,1949.05
60.787,1945.7
66.787,1942.51
72,1941.14
